"","id","date","tavg"
"1","RSM00031510",2004-01-01,-225
"2","RSM00031510",2004-01-02,-213
"3","RSM00031510",2004-01-03,-264
"4","RSM00031510",2004-01-04,-274
"5","RSM00031510",2004-01-05,-271
"6","RSM00031510",2004-01-06,-233
"7","RSM00031510",2004-01-07,-214
"8","RSM00031510",2004-01-08,-272
"9","RSM00031510",2004-01-09,-256
"10","RSM00031510",2004-01-10,-191
"11","RSM00031510",2004-01-11,-241
"12","RSM00031510",2004-01-12,-222
"13","RSM00031510",2004-01-13,-268
"14","RSM00031510",2004-01-14,-289
"15","RSM00031510",2004-01-15,-283
"16","RSM00031510",2004-01-16,-254
"17","RSM00031510",2004-01-17,-256
"18","RSM00031510",2004-01-18,-213
"19","RSM00031510",2004-01-19,-192
"20","RSM00031510",2004-01-20,-179
"21","RSM00031510",2004-01-21,-173
"22","RSM00031510",2004-01-22,-153
"23","RSM00031510",2004-01-23,-141
"24","RSM00031510",2004-01-24,-158
"25","RSM00031510",2004-01-25,-186
"26","RSM00031510",2004-01-26,-160
"27","RSM00031510",2004-01-27,-156
"28","RSM00031510",2004-01-28,-176
"29","RSM00031510",2004-01-29,-240
"30","RSM00031510",2004-01-30,-208
"31","RSM00031510",2004-01-31,-198
"32","RSM00031510",2004-02-01,-231
"33","RSM00031510",2004-02-02,-163
"34","RSM00031510",2004-02-03,-150
"35","RSM00031510",2004-02-04,-161
"36","RSM00031510",2004-02-05,-190
"37","RSM00031510",2004-02-06,-179
"38","RSM00031510",2004-02-07,-220
"39","RSM00031510",2004-02-08,-186
"40","RSM00031510",2004-02-09,-216
"41","RSM00031510",2004-02-10,-207
"42","RSM00031510",2004-02-11,-190
"43","RSM00031510",2004-02-12,-145
"44","RSM00031510",2004-02-13,-114
"45","RSM00031510",2004-02-14,-108
"46","RSM00031510",2004-02-15,-161
"47","RSM00031510",2004-02-16,-213
"48","RSM00031510",2004-02-17,-168
"49","RSM00031510",2004-02-18,-208
"50","RSM00031510",2004-02-19,-123
"51","RSM00031510",2004-02-20,-131
"52","RSM00031510",2004-02-21,-144
"53","RSM00031510",2004-02-22,-174
"54","RSM00031510",2004-02-23,-179
"55","RSM00031510",2004-02-24,-163
"56","RSM00031510",2004-02-25,-155
"57","RSM00031510",2004-02-26,-175
"58","RSM00031510",2004-02-27,-179
"59","RSM00031510",2004-02-28,-136
"60","RSM00031510",2004-02-29,-156
"61","RSM00031510",2004-03-01,-186
"62","RSM00031510",2004-03-02,-174
"63","RSM00031510",2004-03-03,-201
"64","RSM00031510",2004-03-04,-182
"65","RSM00031510",2004-03-05,-150
"66","RSM00031510",2004-03-06,-149
"67","RSM00031510",2004-03-07,-125
"68","RSM00031510",2004-03-08,-105
"69","RSM00031510",2004-03-09,-76
"70","RSM00031510",2004-03-10,-10
"71","RSM00031510",2004-03-11,-44
"72","RSM00031510",2004-03-12,-65
"73","RSM00031510",2004-03-13,-73
"74","RSM00031510",2004-03-14,-100
"75","RSM00031510",2004-03-15,-48
"76","RSM00031510",2004-03-16,-23
"77","RSM00031510",2004-03-17,-95
"78","RSM00031510",2004-03-18,-108
"79","RSM00031510",2004-03-19,-89
"80","RSM00031510",2004-03-20,-82
"81","RSM00031510",2004-03-21,-66
"82","RSM00031510",2004-03-22,-49
"83","RSM00031510",2004-03-23,-27
"84","RSM00031510",2004-03-24,-18
"85","RSM00031510",2004-03-25,-6
"86","RSM00031510",2004-03-26,11
"87","RSM00031510",2004-03-27,22
"88","RSM00031510",2004-03-28,14
"89","RSM00031510",2004-03-29,30
"90","RSM00031510",2004-03-30,14
"91","RSM00031510",2004-03-31,-5
"92","RSM00031510",2004-04-01,-2
"93","RSM00031510",2004-04-02,-15
"94","RSM00031510",2004-04-03,4
"95","RSM00031510",2004-04-04,19
"96","RSM00031510",2004-04-05,27
"97","RSM00031510",2004-04-06,26
"98","RSM00031510",2004-04-07,29
"99","RSM00031510",2004-04-08,38
"100","RSM00031510",2004-04-09,27
"101","RSM00031510",2004-04-10,34
